project, status, reproducibleVariants, nonReproducibleVariants, stars
github.com/kr/text, Fully Reproducible, ['all'], [], 77
github.com/allegro/bigcache, Fully Reproducible, ['all'], [], 6601
github.com/fsnotify/fsnotify, Fully Reproducible, ['all'], [], 8006
github.com/hashicorp/vault/api, Fully Reproducible, ['all'], [], 27976
github.com/beevik/ntp, Fully Reproducible, ['all'], [], 425
github.com/hashicorp/go-version, Fully Reproducible, ['all'], [], 1379
github.com/ory/dockertest, Fully Reproducible, ['all'], [], 3527
github.com/pborman/uuid, Fully Reproducible, ['all'], [], 368
github.com/mitchellh/mapstructure, Fully Reproducible, ['all'], [], 6847
github.com/hashicorp/consul, Fully Reproducible, ['all'], [], 26626
go.opentelemetry.io/otel, Fully Reproducible, ['all'], [], 4020
github.com/gopherjs/gopherjs, Fully Reproducible, ['all'], [], 12008
github.com/beorn7/perks, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 84
github.com/jmoiron/sqlx, Fully Reproducible, ['all'], [], 13675
github.com/gosimple/slug, Fully Reproducible, ['all'], [], 952
github.com/jessevdk/go-flags, Fully Reproducible, ['all'], [], 2193
github.com/boltdb/bolt, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 13607
github.com/streadway/amqp, Fully Reproducible, ['all'], [], 4655
github.com/cespare/xxhash, Fully Reproducible, ['all'], [], 1453
google.golang.org/protobuf, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 2265
github.com/hashicorp/go-memdb, Fully Reproducible, ['all'], [], 2579
github.com/elazarl/go-bindata-assetfs, Fully Reproducible, ['all'], [], 853
go.etcd.io/etcd/etcdctl/v3, Fully Reproducible, ['all'], [], 43902
github.com/tidwall/gjson, Fully Reproducible, ['all'], [], 11468
github.com/rakyll/statik, Fully Reproducible, ['all'], [], 3488
gopkg.in/check.v1, Fully Reproducible, ['all'], [], 665
github.com/pelletier/go-toml/v2, Fully Reproducible, ['all'], [], 1450
github.com/cpuguy83/go-md2man, Fully Reproducible, ['all'], [], 160
github.com/grpc-ecosystem/go-grpc-middleware, Fully Reproducible, ['all'], [], 5484
github.com/blang/semver, Fully Reproducible, ['all'], [], 880
github.com/minio/sha256-simd, Fully Reproducible, ['all'], [], 853
go.uber.org/ratelimit, Fully Reproducible, ['all'], [], 3701
github.com/mitchellh/go-testing-interface, Fully Reproducible, ['all'], [], 46
github.com/matryer/is, Fully Reproducible, ['all'], [], 1536
github.com/zenazn/goji, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3631
github.com/fortytw2/leaktest, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 947
github.com/aliyun/alibaba-cloud-sdk-go, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'], 1116
github.com/stretchr/testify, Fully Reproducible, ['all'], [], 20012
github.com/bitly/go-simplejson, Fully Reproducible, ['all'], [], 3694
github.com/lucas-clemente/quic-go, Fully Reproducible, ['all'], [], 8422
github.com/pkg/term, Fully Reproducible, ['all'], [], 342
github.com/googleapis/gax-go, Fully Reproducible, ['all'], [], 165
github.com/evanphx/json-patch, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 800
github.com/fogleman/gg, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 3834
github.com/karrick/godirwalk, Fully Reproducible, ['all'], [], 638
gopkg.in/go-playground/validator.v8, Fully Reproducible, ['all'], [], 13432
github.com/mailru/easyjson, Fully Reproducible, ['all'], [], 4144
github.com/microcosm-cc/bluemonday, Fully Reproducible, ['all'], [], 2683
