projectName,URL,slug
0x-contract-wrappers,https://github.com/0xproject/0x-monorepo/tree/development/python-packages/contract_wrappers,0xproject/0x-monorepo
0x-order-utils,https://github.com/0xProject/0x-monorepo/tree/development/python-packages/order_utils,0xProject/0x-monorepo
12factor-configclasses,https://github.com/kingoodie/configclasses,kingoodie/configclasses
12factor-vault,https://github.com/jdelic/12factor-vault/,jdelic/12factor-vault
1os,https://github.com/1deos/1OS,1deos/1OS
1password,https://github.com/wandera/1password-client,wandera/1password-client
2captcha-python,https://github.com/2captcha/2captcha-python/,2captcha/2captcha-python
3d-converter,https://github.com/vorono4ka/3d-converter,vorono4ka/3d-converter
a-pytube-fork-for-spotdl-users,https://github.com/nficano/pytube,nficano/pytube
a2wsgi,https://github.com/abersheeran/a2wsgi,abersheeran/a2wsgi
aa-stripe,https://github.com/HealthByRo/aa-stripe,HealthByRo/aa-stripe
aaargh,https://github.com/wbolster/aaargh,wbolster/aaargh
aacgm2,https://github.com/st-bender/aacgmv2,st-bender/aacgmv2
aacgmv2,https://github.com/aburrell/aacgmv2,aburrell/aacgmv2
aanalytics2,https://github.com/pitchmuc/adobe-analytics-api-2.0,pitchmuc/adobe-analytics-api-2.0
abbyy,https://github.com/samueltc/ABBYY,samueltc/ABBYY
abilian-core,https://github.com/abilian/abilian-core,abilian/abilian-core
abilian-sbe,https://github.com/abilian/abilian-sbe,abilian/abilian-sbe
abodepy,https://github.com/MisterWil/abodepy,MisterWil/abodepy
about-time,https://github.com/rsalmei/about-time,rsalmei/about-time
abraham3k,https://github.com/ckinateder/abraham,ckinateder/abraham
absl-py,https://github.com/abseil/abseil-py,abseil/abseil-py
abstracts,https://github.com/envoyproxy/pytooling/tree/main/abstracts,envoyproxy/pytooling
abuse-finder,https://github.com/certsocietegenerale/abuse_finder,certsocietegenerale/abuse_finder
abydos,https://github.com/chrislit/abydos,chrislit/abydos
acachecontrol,https://github.com/MasterSergius/acachecontrol,MasterSergius/acachecontrol
accelerate,https://github.com/huggingface/accelerate,huggingface/accelerate
accelerator-toolbox,https://github.com/atcollab/at,atcollab/at
accern,https://github.com/Accern/accern-python,Accern/accern-python
access-points,https://github.com/kootenpv/access_points,kootenpv/access_points
accesscontrol,https://github.com/zopefoundation/AccessControl,zopefoundation/AccessControl
accession,https://github.com/ENCODE-DCC/accession,ENCODE-DCC/accession
accountant,https://github.com/pypa/sampleproject,pypa/sampleproject
accumulation-tree,https://github.com/tkluck/accumulation_tree,tkluck/accumulation_tree
accuweather,https://github.com/bieniu/accuweather,bieniu/accuweather
acebinf,https://github.com/ACEnglish/acebinf,ACEnglish/acebinf
