project, status, reproducibleVariants, nonReproducibleVariants, stars
blackduck, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'], ['user_group.available+=builduser:builduser'; 'time'; 'umask'], 78
five-localsitemanager, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 1
courseraoauth2client, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 4
nextstrain-cli, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 25
lastversion, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 272
sasoptpy, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
mmcv-full, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 5029
django-logentry-admin, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 99
pyros-genpy, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 22
mkdocs-include-markdown-plugin, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 61
motmetrics, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 1210
reolink, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 74
spinners, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 126
joint-calling, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 0
carto, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 155
blessings, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 1380
tencentcloud-sdk-python-tci, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 534
imagehash, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 2676
yolk3k, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 53
products-pluginregistry, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], -1
pallets-sphinx-themes, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 43
camsa, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 8
depthai, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 764
liccheck, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 123
mapbox-earcut, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
telemetry-tools, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 0
restless, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 832
flask-admin, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 5393
