name,status,variationsNonReproducible,variationsReproducible
aiogtts,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
aiohttp-retry,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
aionotify,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
albumentations,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
ansible-lint,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
antidote,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
apiclient,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
argo-models,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
attrs-strict,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
backports-tempfile,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
based-latex,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
beerbolaget,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
bgtasks,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
bpmn-rpa,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
cachy,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
celery-progress,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
ceph-deploy,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
cg,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
chaid,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
choice,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
cocotbext-uart,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
collective-solr,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
colour-runner,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
commonmark,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
connection,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
css-parser,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
cssselect,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
cwltest,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
dataclasses-json,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
dbnd-airflow-monitor,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
decopt,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
decorating,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
descarteslabs,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
device-detector,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
dgl-cu111,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
discord-py-self,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
distro,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-health-check,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-pagination-fork,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-python3-ldap,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-qsstats-magic,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-rest-framework-social-oauth2,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-simple-captcha,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-sso-app,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-stubs,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
django-useragents,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
djangocms-helper,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
docker-registry-client,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
dotscience,Not Reproducible,'umask','environment'  'build_path'  'user_group.available+=builduser:builduser'  'fileordering'  'home'  'kernel'  'locales'  'exec_path'  'time'  'timezone'
