name,gh_version,pypi_version,status,diffoscope,error
static-ffmpeg,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
mccabe,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pytest-mongodb,Failed,Failed,Failed,Error, GH: No setup.py found
mypy-boto3-xray,Failed,Failed,Failed,Error, GH: Could not clone the repo
pyphaxio,0.11,0.11,Success,├── file list README.rst setup.cfg tests, NA
pulsar,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
infra-buddy,Failed,Failed,Failed,Error, GH: No version found in setup.py
xblock-utils,.2,3.2.0,Success,├── file list MANIFEST.in requirements setup.cfg setup.py, NA
graffiti-monkey,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pyportfolioopt,1.5.5,1.5.5,Success,├── file list setup.py, NA
tzdata,Failed,Failed,Failed,Error, GH: No setup.py found
django-proxy,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pure-python-adb,0.3.0,0.3.0.0,Success,├── file list ppadb, NA
formic2,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
campbel,Failed,Failed,Failed,Error, GH: Could not clone the repo
pytest-github-actions-annotate-failures,Failed,Failed,Failed,Error, GH: Could not clone the repo
google-ads,21.2.0,21.2.0,Success,├── file list, NA
pymysql,Failed,Failed,Failed,Error, GH: Could not clone the repo
testcontainers,Failed,Failed,Failed,Error, GH: No setup.py found
line-protocol-parser,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
py-params,Failed,Failed,Failed,Error, GH: Could not clone the repo
mypy-boto3-mgn,Failed,Failed,Failed,Error, GH: Could not clone the repo
attrdict,2.0.1,2.0.1,Success,├── file list setup.cfg, NA
xxh-xxh,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
nose-randomly,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
tencentcloud-sdk-python-iottid,Failed,Failed,Failed,Error, GH: Could not clone the repo
arnparse,0.0.2,0.0.2,Success,├── file list setup.cfg, NA
atomtools,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
fmu-ensemble,Failed,Failed,Failed,Error, GH: No version found in setup.py
social-auth-app-django,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pytest-dependency,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
oppai,Failed,Failed,Failed,Error, GH: No setup.py found
aioelasticsearch,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
check-docker,Failed,Failed,Failed,Error, GH: No setup.py found
wsgicors,0.7.0,0.7.0,Success,├── file list README.rst setup.cfg, NA
rejected,3.22.0,3.22.0,Success,├── file list requires setup.cfg, NA
google-cloud-memcache,Failed,Failed,Failed,Error, GH: No setup.py found
thinc,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
naas-drivers,0.110.0,0.109.1,Success,├── file list README.md naas_drivers setup.cfg setup.py, NA
life-line-chart,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
django-storages-redux,Failed,Failed,Failed,Error, GH: No version found in setup.py
zope-container,5.2.0,5.1,Success,├── file list CHANGES.rst setup.cfg setup.py src, NA
