project, status, reproducibleVariants, nonReproducibleVariants, stars
github.com/nsf/termbox-go, Fully Reproducible, ['all'], [], 4291
github.com/vishvananda/netlink, Fully Reproducible, ['all'], [], 2368
github.com/blang/semver, Fully Reproducible, ['all'], [], 880
github.com/julienschmidt/httprouter, Fully Reproducible, ['all'], [], 15139
github.com/googleapis/gnostic, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 1440
github.com/antchfx/xpath, Fully Reproducible, ['all'], [], 548
github.com/aws/aws-sdk-go-v2, Fully Reproducible, ['all'], [], 2053
github.com/influxdb/influxdb, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 25778
github.com/kr/pretty, Fully Reproducible, ['all'], [], 1144
github.com/fatih/color, Fully Reproducible, ['all'], [], 6162
github.com/golang/snappy, Fully Reproducible, ['all'], [], 1309
github.com/mitchellh/copystructure, Fully Reproducible, ['all'], [], 243
github.com/containerd/containerd, Fully Reproducible, ['all'], [], 13073
github.com/natefinch/lumberjack, Fully Reproducible, ['all'], [], 4132
github.com/hashicorp/go-multierror, Fully Reproducible, ['all'], [], 1230
github.com/hashicorp/go-immutable-radix, Fully Reproducible, ['all'], [], 857
github.com/google/gopacket, Fully Reproducible, ['all'], [], 5678
github.com/elazarl/go-bindata-assetfs, Fully Reproducible, ['all'], [], 853
github.com/robertkrimen/otto, Fully Reproducible, ['all'], [], 7188
github.com/hashicorp/golang-lru, Fully Reproducible, ['all'], [], 3536
github.com/valyala/fasttemplate, Fully Reproducible, ['all'], [], 711
github.com/prometheus/client_golang, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 4672
github.com/dlclark/regexp2, Fully Reproducible, ['all'], [], 792
gorm.io/gorm, Fully Reproducible, ['all'], [], 32841
go.etcd.io/etcd/client/pkg/v3, Fully Reproducible, ['all'], [], 43902
github.com/pkg/sftp, Fully Reproducible, ['all'], [], 1305
github.com/otiai10/copy, Fully Reproducible, ['all'], [], 564
github.com/jmespath/go-jmespath, Fully Reproducible, ['all'], [], 503
go.opentelemetry.io/otel/sdk, Fully Reproducible, ['all'], [], 4020
github.com/edsrzf/mmap-go, Fully Reproducible, ['all'], [], 661
github.com/99designs/gqlgen, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['user_group.available+=builduser:builduser'; 'home'], 8992
go.etcd.io/etcd/client/v3, Fully Reproducible, ['all'], [], 43902
github.com/aws/aws-sdk-go, Fully Reproducible, ['all'], [], 8154
gopkg.in/check.v1, Fully Reproducible, ['all'], [], 665
github.com/getsentry/raven-go, Not Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 555
github.com/stretchr/objx, Fully Reproducible, ['all'], [], 566
