name,gh_version,pypi_version,status,diffoscope,repo_version,error
playback-studio,Failed,Failed,Failed,Error
jinxed,Failed,Failed,Failed,Error
mypy-boto3-appintegrations,Failed,Failed,Failed,Error
mypy-boto3-sso-oidc,Failed,Failed,Failed,Error
pyecharts-javascripthon,Failed,Failed,Failed,Error
asyncio-nats-client,Failed,Failed,Failed,Error
drf-api-tracking,Failed,Failed,Failed,Error
aws-cdk-aws-codestar,Failed,Failed,Failed,Error
qcore,Failed,Failed,Failed,Error
mplhep,Failed,Failed,Failed,Error
pyobjc-framework-applescriptkit,Failed,Failed,Failed,Error
types-contextvars,Failed,Failed,Failed,Error
pyirishrail,0.0.2,0.0.2,Success,Diff
proteome,Failed,Failed,Failed,Error
latex2mathml,Failed,Failed,Failed,Error
aiohttp-json-api,0.37.0,0.37.0,Success,Diff
mdformat,Failed,Failed,Failed,Error
cexprtk,Failed,Failed,Failed,Error
db0mb3r,Failed,Failed,Failed,Error
graphene-federation,0.2.0,3.1.4,Success,Diff
bitarray-hardbyte,Failed,Failed,Failed,Error
furl,Failed,Failed,Failed,Error
pallets-sphinx-themes,Failed,Failed,Failed,Error
presto-python-client,Failed,Failed,Failed,Error
pytest-sentry,Failed,Failed,Failed,Error
fuzzyset2,Failed,Failed,Failed,Error
deepcl,Failed,Failed,Failed,Error
cibuildwheel,Failed,Failed,Failed,Error
langcodes,Failed,Failed,Failed,Error
tencentcloud-sdk-python-gpm,Failed,Failed,Failed,Error
pathlib2,0.,2.3.7.1,Success,Diff
google-cloud-build,Failed,Failed,Failed,Error
celery-connectors,1.0.30,1.0.30,Success,Diff
processout,6.29.0,6.29.0,Success,Diff
mypy-boto3-lookoutmetrics,Failed,Failed,Failed,Error
django-is-core,Failed,Failed,Failed,Error
ory-kratos-client,Failed,Failed,Failed,Error
appimage-builder,Failed,Failed,Failed,Error
plyvel,821,1.5.0,Success,Diff
flask-redis,Failed,Failed,Failed,Error
jupyter-notebook-gist,Failed,Failed,Failed,Error
flake8-logging-format,0.9.0,0.9.0,Success,Diff
life360,Failed,Failed,Failed,Error
imageio-ffmpeg,Failed,Failed,Failed,Error
automlapi,Failed,Failed,Failed,Error
fredapi,Failed,Failed,Failed,Error
pycbrf,Failed,Failed,Failed,Error
behaving,Failed,Failed,Failed,Error
pytest-salt,Failed,Failed,Failed,Error
aws-log-parser,2.3.0,1.9.0,Success,Diff
guide-search,Failed,Failed,Failed,Error
flask-dropzone,1.6.0,1.6.0,Success,Diff
cmakelint,Failed,Failed,Failed,Error
markov-clustering,Failed,Failed,Failed,Error
cs50,9.2.5,9.2.5,Success,Diff
aiogrpc,1.8,1.8,Success,Diff
django-excel-response2,3.0.5,3.0.5,Success,Diff
azure-kusto-data,Failed,Failed,Failed,Error
neverbounce-sdk,Failed,Failed,Failed,Error
extruct,Failed,Failed,Failed,Error
parquet-tools,Failed,Failed,Failed,Error
google-cloud-bigquery-reservation,Failed,Failed,Failed,Error
aws-cdk-aws-auditmanager,Failed,Failed,Failed,Error
pylightxl,1.61,1.61,Success,Diff
bai2,Failed,Failed,Failed,Error
livereload,Failed,Failed,Failed,Error
tokenize-rt,Failed,Failed,Failed,Error
scribehog,1.4.3,1.4.3,Success,Diff
mt2,Failed,Failed,Failed,Error
mmcv-full,Failed,Failed,Failed,Error
oelint-adv,Failed,Failed,Failed,Error
pantsbuild-pants-contrib-codeanalysis,Failed,Failed,Failed,Error
edc-registration,Failed,Failed,Failed,Error
py-solc-x,1.1.1,1.1.1,Success,Diff
icemac-addressbook,9.5.0,9.4,Success,Diff
nekos-py,Failed,Failed,Failed,Error
shipwire,0.9.0,0.9.1,Success,Diff
pyobjc-framework-diskarbitration,Failed,Failed,Failed,Error
aws-cdk-aws-frauddetector,Failed,Failed,Failed,Error
extruct,Failed,Failed,Failed,Error
mip,Failed,Failed,Failed,Error
