project, status, reproducibleVariants, nonReproducibleVariants, stars
psutil, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 9348
psutil-wheels, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 9348
ppdiffusers, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9453
paddlenlp, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9453
tool-helpers, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9453
faster-tokenizers, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9453
faster-tokenizer, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9453
fast-tokenizer-python, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9453
paddle-pipelines, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9453
visdom, Partially Reproducible, ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['user_group.available+=builduser:builduser'; 'umask'], 9460
calibreweb, Partially Reproducible, [], ['environment'; 'build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 9473
wordcloud, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'], ['build_path'; 'user_group.available+=builduser:builduser'; 'umask'], 9516
