name,gh_version,pypi_version,status,diffoscope,error
inapppy,2.6,2.5.2,Success,├── file list inapppy setup.py, NA
energy-trading-api,0.0.34,0.0.34,Success,├── file list README.md energy_trading_api setup.py, NA
django-guid,Failed,Failed,Failed,Error, GH: No setup.py found
tiledb,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pytest-sanic,1.9.1,1.9.1,Success,├── file list setup.py, NA
tox-pyenv,Failed,Failed,Failed,Error, GH: No version found in setup.py
google-search,1.1.1,1.1.1,Success,├── file list setup.cfg, NA
dead-hosts-launcher,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
pandas-dedupe,1.5.0,1.5.0,Success,├── file list README.md, NA
hmmlearn,Failed,Failed,Failed,Error, GH: No version found in setup.py
django-admin-sortable,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
abodepy,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
envparse,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
tensorflow-plot,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
ctutlz,..1,0.9.8,Success,├── file list ctutlz setup.py, NA
result,Failed,Failed,Failed,Error, GH: No version found in setup.py
jsonseq,1.0.0,1.0.0,Success,├── file list, NA
python-arango,Failed,Failed,Failed,Error, GH: No version found in setup.py
pythondata-cpu-picorv32,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
django-rest-framework-mongoengine,3.4.1,3.4.1,Success,├── file list README.md rest_framework_mongoengine setup.cfg setup.py, NA
html-similarity,0.3.3,0.3.3,Success,├── file list, NA
markdownsuperscript,2.1.1440,2.1.1,Success,├── file list requirements setup.cfg, NA
http-ece,Failed,Failed,Failed,Error, GH: No setup.py found
gurux-dlms,Failed,Failed,Failed,Error, GH: No setup.py found
bbopt,Failed,Failed,Failed,Error, GH: No version found in setup.py
dlipower,Failed,Failed,Failed,Error, GH: No version found in setup.py
spacy-api,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
gcld3,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
flask-logging-extras,2.0.0,2.0.0,Success,├── file list setup.cfg, NA
fastremap,Failed,Failed,Failed,Error, GH: Could not clone the repo
gecosistema-core,0.0.0,0.0.200,Success,├── file list README.md gecosistema_core setup.py, NA
webspace,Failed,Failed,Failed,Error, GH: Could not clone the repo
pycef,1.11,1.11,Success,├── file list setup.cfg, NA
epicscorelibs,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
imreg-dft,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
keras-rl,0.4.2,0.4.2,Success,├── file list README.md rl setup.cfg tests, NA
pynmea2,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
seismograph,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
qiskit-aer,Failed,Failed,Failed,Error, GH: No version found after checking __init__.py
yalexs,1.5.1,1.5.1,Success,├── file list setup.cfg, NA
