project, status, reproducibleVariants, nonReproducibleVariants, stars
clap, Fully Reproducible, ['all'], [], 11656
serde, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 7342
tokio, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
hyper, Fully Reproducible, ['all'], [], 12143
serde_derive, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 7342
futures, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
serde_json, Fully Reproducible, ['all'], [], 4009
regex, Fully Reproducible, ['all'], [], 2975
syn, Fully Reproducible, ['all'], [], 2323
libc, Fully Reproducible, ['all'], [], 1704
bytes, Fully Reproducible, ['all'], [], 1305
quote, Fully Reproducible, ['all'], [], 1058
url, Fully Reproducible, ['all'], [], 1043
proc-macro2, Fully Reproducible, ['all'], [], 547
rayon, Fully Reproducible, ['all'], [], 8798
anyhow, Fully Reproducible, ['all'], [], 4209
thiserror, Fully Reproducible, ['all'], [], 3350
log, Fully Reproducible, ['all'], [], 1769
rand, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 1360
uuid, Fully Reproducible, ['all'], [], 826
byteorder, Fully Reproducible, ['all'], [], 808
base64, Fully Reproducible, ['all'], [], 475
toml, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 446
actix-web, Partially Reproducible, ['exec_path'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], 16822
nom, Fully Reproducible, ['all'], [], 8058
reqwest, Fully Reproducible, ['all'], [], 7681
web-sys, Fully Reproducible, ['all'], [], 6407
wasm-bindgen, Fully Reproducible, ['all'], [], 6407
js-sys, Fully Reproducible, ['all'], [], 6407
mio, Fully Reproducible, ['all'], [], 5547
tracing, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 3977
pest_derive, Not Reproducible, [], [], 3923
pest, Not Reproducible, [], [], 3923
criterion, Fully Reproducible, ['all'], [], 3469
chrono, Fully Reproducible, ['all'], [], 2786
itertools, Fully Reproducible, ['all'], [], 2179
once_cell, Fully Reproducible, ['all'], [], 1522
lazy_static, Fully Reproducible, ['all'], [], 1513
cc, Fully Reproducible, ['all'], [], 1357
openssl, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 1143
percent-encoding, Fully Reproducible, ['all'], [], 1043
smallvec, Fully Reproducible, ['all'], [], 1026
tempfile, Fully Reproducible, ['all'], [], 874
bitflags, Fully Reproducible, ['all'], [], 716
env_logger, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 554
num-traits, Fully Reproducible, ['all'], [], 527
num_cpus, Fully Reproducible, ['all'], [], 502
semver, Fully Reproducible, ['all'], [], 491
globset, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 38942
tokio-io, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 21109
home, Not Reproducible, [], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 10677
clippy, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 9516
wasm-bindgen-futures, Fully Reproducible, ['all'], [], 6407
crossbeam-utils, Fully Reproducible, ['all'], [], 6217
crossbeam-channel, Fully Reproducible, ['all'], [], 6217
futures-core, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
rustls, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4636
async-std, Fully Reproducible, ['all'], [], 3670
winit, Fully Reproducible, ['all'], [], 3504
bindgen, Partially Reproducible, ['environment'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['fileordering'], 3505
nalgebra, Fully Reproducible, ['all'], [], 3288
bincode, Fully Reproducible, ['all'], [], 2130
async-trait, Fully Reproducible, ['all'], [], 1495
failure_derive, Fully Reproducible, ['all'], [], 1445
csv, Fully Reproducible, ['all'], [], 1431
rand_core, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 1360
colored, Fully Reproducible, ['all'], [], 1344
indexmap, Fully Reproducible, ['all'], [], 1299
slog, Fully Reproducible, ['all'], [], 1231
handlebars, Fully Reproducible, ['all'], [], 1027
walkdir, Fully Reproducible, ['all'], [], 903
num, Fully Reproducible, ['all'], [], 883
time, Fully Reproducible, ['all'], [], 823
flate2, Fully Reproducible, ['all'], [], 667
arrayvec, Fully Reproducible, ['all'], [], 596
slab, Fully Reproducible, ['all'], [], 515
ctrlc, Fully Reproducible, ['all'], [], 493
backtrace, Fully Reproducible, ['all'], [], 445
memchr, Fully Reproducible, ['all'], [], 446
dirs, Fully Reproducible, ['all'], [], 437
unicode-segmentation, Fully Reproducible, ['all'], [], 430
cfg-if, Fully Reproducible, ['all'], [], 416
either, Fully Reproducible, ['all'], [], 308
ignore, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 38942
clap_complete, Fully Reproducible, ['all'], [], 11656
diesel, Not Reproducible, [], [], 10471
pyo3, Fully Reproducible, ['all'], [], 8845
serde_test, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 7342
crossbeam, Fully Reproducible, ['all'], [], 6217
crossbeam-deque, Fully Reproducible, ['all'], [], 6217
futures-preview, Partially Reproducible, ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], [], 4794
