project, status, reproducibleVariants, nonReproducibleVariants, stars
aiogtts, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7
aiogtts, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 7
aiohttp-retry, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'], ['environment'; 'home'; 'locales'; 'time'; 'timezone'; 'umask'], 192
aionotify, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'exec_path'], ['build_path'; 'home'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], 115
albumentations, Not Reproducible, ['user_group.available+=builduser:builduser'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], 12261
ansible-lint, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'fileordering'; 'locales'], ['build_path'; 'home'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 0
antidote, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'exec_path'], ['environment'; 'fileordering'; 'kernel'; 'locales'; 'time'; 'timezone'; 'umask'], 84
apiclient, Not Reproducible, ['user_group.available+=builduser:builduser'; 'fileordering'; 'kernel'; 'exec_path'; 'timezone'], ['environment'; 'build_path'; 'home'; 'locales'; 'time'; 'umask'], 87
argo-models, Not Reproducible, ['environment'; 'user_group.available+=builduser:builduser'; 'home'; 'exec_path'; 'timezone'], ['build_path'; 'fileordering'; 'kernel'; 'locales'; 'time'; 'umask'], 8
attrs-strict, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'home'; 'locales'], ['environment'; 'fileordering'; 'kernel'; 'exec_path'; 'time'; 'timezone'; 'umask'], 47
backports-tempfile, Not Reproducible, ['user_group.available+=builduser:builduser'; 'time'], ['environment'; 'build_path'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'; 'umask'], -1
based-latex, Not Reproducible, ['build_path'; 'user_group.available+=builduser:builduser'; 'exec_path'; 'timezone'], ['environment'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'time'; 'umask'], -1
