project, status, reproducibleVariants, nonReproducibleVariants, stars
flake8-class-newline, Fully Reproducible, ['all'], [], -1
pyhumps, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
gambaterm, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], -1
five-localsitemanager, Fully Reproducible, ['all'], [], -1
courseraoauth2client, Fully Reproducible, ['all'], [], -1
nextstrain-cli, Fully Reproducible, ['all'], [], -1
lastversion, Fully Reproducible, ['all'], [], -1
sasoptpy, Fully Reproducible, ['all'], [], -1
mmcv-full, Fully Reproducible, ['all'], [], -1
django-logentry-admin, Fully Reproducible, ['all'], [], -1
pyros-genpy, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
mkdocs-include-markdown-plugin, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
motmetrics, Fully Reproducible, ['all'], [], -1
reolink, Fully Reproducible, ['all'], [], -1
spinners, Fully Reproducible, ['all'], [], -1
joint-calling, Fully Reproducible, ['all'], [], -1
carto, Fully Reproducible, ['all'], [], -1
blessings, Fully Reproducible, ['all'], [], -1
tencentcloud-sdk-python-tci, Fully Reproducible, ['all'], [], -1
imagehash, Fully Reproducible, ['all'], [], -1
yolk3k, Fully Reproducible, ['all'], [], -1
products-pluginregistry, Fully Reproducible, ['all'], [], -1
pallets-sphinx-themes, Fully Reproducible, ['all'], [], -1
camsa, Fully Reproducible, ['all'], [], -1
depthai, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
liccheck, Fully Reproducible, ['all'], [], -1
mapbox-earcut, Not Reproducible, [], ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], -1
telemetry-tools, Fully Reproducible, ['all'], [], -1
restless, Fully Reproducible, ['all'], [], -1
flask-admin, Fully Reproducible, ['all'], [], -1
pycomfoconnect, Fully Reproducible, ['all'], [], -1
facenet, Fully Reproducible, ['all'], [], -1
smartystreets-python-sdk, Fully Reproducible, ['all'], [], -1
auth0-python, Fully Reproducible, ['all'], [], -1
fauxfactory, Fully Reproducible, ['all'], [], -1
katcp, Fully Reproducible, ['all'], [], -1
sklearn-pmml-model, Partially Reproducible, ['environment'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'time'; 'timezone'; 'umask'], ['build_path'], -1
retry-requests, Partially Reproducible, ['environment'; 'build_path'; 'user_group'; 'fileordering'; 'home'; 'kernel'; 'locales'; 'exec_path'; 'timezone'; 'umask'], ['time'], -1
requests-credssp, Fully Reproducible, ['all'], [], -1
