,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
155840,422588,Maven,javax.transaction:javax.transaction-api,2015-01-31 05:51:26 UTC,2017-10-24 11:36:40 UTC,Project GlassFish Java Transaction API,,http://jta-spec.java.net,GPL-2.0-with-classpath-exception,scm:svn:https://svn.java.net/svn/glassfish~svn/tags/javax.transaction-api-1.2,4,9,2013-05-13 13:01:47 UTC,1.2,,76,,,2017-10-24 11:36:35 UTC,989,
22518,2241114,Maven,io.gs2:gs2-java-sdk-notification,2017-04-19 15:12:25 UTC,2018-07-22 00:47:44 UTC,Game Server Services GS2-Notification SDK for Java,,https://gs2.io/,Apache-2.0,https://github.com/gs2io/gs2-java-sdk-notification,7,0,2018-06-28 19:06:02 UTC,0.5.2,,1,Java,,2017-04-19 15:17:37 UTC,0,14001968
5827,3132941,Maven,com.github.pkoli:xls2pojo-maven-plugin,2018-07-03 00:05:50 UTC,2018-07-03 00:07:33 UTC,A maven plugin to generate java classes from content provided in Excel Sheet ,,https://github.com/pkoli/xls2pojo-maven-plugin,Apache-2.0,https://github.com/pkoli/xls2pojo-maven-plugin,1,0,2017-07-29 18:12:17 UTC,1.0,,0,,,2018-07-03 00:07:30 UTC,0,
135028,408322,Maven,org.constretto:constretto-camel,2015-01-31 03:46:37 UTC,2018-10-27 03:25:18 UTC,An Apache Camel component for Constretto bringing the awesomeness of Constretto to Camel,,https://github.com/constretto/constretto-camel,Vim,https://github.com/constretto/constretto-camel,1,7,2013-12-11 21:32:49 UTC,1.0.0,,0,Java,,2017-10-24 10:27:50 UTC,0,169736
105988,409861,Maven,it.tidalwave.netbeans.boot:pre-updating-launcher,2015-01-31 03:59:32 UTC,2018-12-12 01:48:18 UTC,Launch tool for the NetBeans Platform.,,http://capecanaveral.java.net/netbeans-boot-modules/pre-updating-launcher,Apache-2.0,scm:hg:https://bitbucket.org/tidalwave/capecanaveral-src/netbeans-boot-modules/pre-updating-launcher,2,5,2012-09-15 10:55:15 UTC,2.0-ALPHA-1,,0,Java,,2017-10-24 10:39:04 UTC,0,20255837
9989,3077555,Maven,graceful-readlink,2018-06-28 21:49:51 UTC,2018-06-29 16:46:58 UTC,WebJar for graceful-readlink,,http://webjars.org,MIT,https://github.com/zhiyelee/graceful-readlink,1,0,2017-07-11 03:11:54 UTC,1.0.1,,0,JavaScript,,2018-06-28 21:50:26 UTC,0,278915
94362,422398,Maven,org.deephacks.tools4j:tools4j-config-examples,2015-01-31 05:49:59 UTC,2018-10-27 04:59:00 UTC,Tools4j Config Examples,,,Apache-2.0,scm:git:git@github.com:deephacks/tools4j-config.git/tools4j-config-examples,18,5,2013-07-23 17:22:15 UTC,0.15.0,,0,,,2017-05-03 11:39:09 UTC,0,
113868,418952,Maven,org.hudsonci.plugins:build-name-setter,2015-01-31 05:20:59 UTC,2018-06-19 10:40:42 UTC,build-name-setter,,http://wiki.hudson-ci.org/display/HUDSON/Build+Name+Setter+Plugin,MIT,https://github.com/hudson3-plugins/build-name-setter-plugin,2,6,2013-04-04 18:23:13 UTC,1.3-h-1,,0,Java,,2017-10-24 11:19:01 UTC,0,177797
81563,636600,Maven,org.ow2.carol.cmi:cmi-admin,2015-02-19 20:27:45 UTC,2018-10-27 14:21:43 UTC,Provides MBean for CMI.,,,LGPL-3.0-only,scm:svn:svn://svn.forge.objectweb.org/svnroot/carol/tags/CMI_2_0_RC4/cmi-modules/cmi-admin,4,4,2008-03-07 17:12:21 UTC,2.0-RC4,,1,,,2016-07-18 13:18:28 UTC,0,
110571,416776,Maven,org.ow2.bonita:bonita-api-impl-ejb,2015-01-31 04:59:09 UTC,2018-10-27 04:24:10 UTC,The OW2 Consortium is an open source community committed to making available to everyone the     best and most reliable middleware technology. OW2 mission is to develop open source code     middleware and to foster a vibrant community and business ecosystem.,,,LGPL-3.0-only,scm:svn:svn://svn.forge.objectweb.org/svnroot/bonita/trunk/bonitaPVM/bonita-api-impl-ejb,4,5,2009-09-14 18:22:13 UTC,5.0.M2,,0,,,2017-05-02 22:50:19 UTC,0,
